BUSINESS NAME,ADDRESS,CITY,ZIP CODE,NAICS CODE,PHONE NUMBER,WEBSITE,ABC LICENSE,ADDRESS AUTHORITY,ADDRESS ID,GEOMETRY
VOLUNTEERS OF AMERICA - PARTNERSHIPS IN CHILD CARE,4521 STE 5 JAMESTOWN AVE,BATON ROUGE,70808,624410,225-926-8005,http://voa-br.org,NO,BATON ROUGE,135826,POINT (-91.138959170096 30.421269689889)
SHOPPERS VALUE FOODS,280 MAIN ST,BAKER,70714,453000,,,YES,BAKER,187580,POINT (-91.168062256458 30.577605377651)
CASSANDRA THOMAS JINGLES PSYCHIATRIC NURSE PRACTIT,140 MC GEHEE DR,BATON ROUGE,70815,623000,,,NO,BATON ROUGE,143091,POINT (-91.065377293724 30.456646231474)
NEW SCHOOL FOR BATON ROUGE,100 STE B251 LAFAYETTE ST,BATON ROUGE,70801,611000,,,NO,BATON ROUGE,233706,POINT (-91.188987642297 30.447394714497)
CLEANING SERVICE,10936 UNIT 40 OLD HAMMOND HWY,BATON ROUGE,70816,815000,,,NO,BATON ROUGE,242858,POINT (-91.063133866173 30.434638863473)
CARPETWORLD OF BATON ROUGE INC,8350 STE B FLORIDA BLVD,BATON ROUGE,70806,442000,,,NO,BATON ROUGE,228745,POINT (-91.100205456016 30.451428692291)
PHOENIX METALS COMPANY,2027 N HARCO DR,BATON ROUGE,70815,423000,,,NO,BATON ROUGE,51801,POINT (-91.043066073369 30.471346220277)
COASTAL TRUCK DRIVING SCHOOL,2064 N FLANNERY RD,BATON ROUGE,70815,611692,,,NO,BATON ROUGE,52661,POINT (-91.03421172606 30.469241115752)
FAITHWORTHY LOGISTICS AND SVCS LLC,16724 VERMILLION DR,BATON ROUGE,70819,815000,,,NO,BATON ROUGE,38979,POINT (-91.003240671444 30.476306133649)
KLEINPETER KENNEDY POOL SVCS LLC,19410 N MUIRFIELD CIR,BATON ROUGE,70810,,,,NO,PARISH,49665,POINT (-91.021988724333 30.327375310595)
ALDENS SCHOOL OF COSMETOLOGY,14979 PLANK RD,BAKER,70714,611511,,,YES,BAKER,191572,POINT (-91.126267429861 30.583370695858)
POWELL INDUSTRIES INC,11662 INVESTOR AVE,BATON ROUGE,70809,335999,,,NO,PARISH,12574,POINT (-91.050907912619 30.391456260173)
LEWIS THINGS,10911 CLEARVIEW AVE,BATON ROUGE,70811,453000,,,NO,PARISH,7714,POINT (-91.121082218375 30.548386728463)
PKSA KARATE,8775 STE A JEFFERSON HWY,BATON ROUGE,70809,815000,,,NO,BATON ROUGE,159437,POINT (-91.091870723601 30.418654422318)
SAFEWAY ELECTRIC CO INC,3434 DELAWARE ST,BATON ROUGE,70805,238000,,,NO,BATON ROUGE,72877,POINT (-91.14937822754 30.48002130323)
TOMATO JANE LLC,4212 PASTURE CLEAR CT,ZACHARY,70791,454000,,,NO,ZACHARY,192759,POINT (-91.188704553342 30.650211915544)
ACL HEARING & BALANCE CENTER,7952 GOODWOOD BLVD,BATON ROUGE,70806,621000,,,NO,BATON ROUGE,114536,POINT (-91.104583128585 30.441442534696)
DELTA MACHINE & IRONWORKS,5185 ADAMS AVE,BATON ROUGE,70806,,,,NO,BATON ROUGE,90627,POINT (-91.137112905106 30.469991744374)
A LIL ONE'S LEARNING CENTR INC,4952 STUMBERG LN,BATON ROUGE,70816,624000,,,NO,BATON ROUGE,88176,POINT (-91.037868516157 30.406339468836)
RACETRAC #117,3730 HARDING BLVD,BATON ROUGE,70807,447000,,,YES,BATON ROUGE,134851,POINT (-91.152344614676 30.520854268824)
IMPORT DOCTOR,7424 TOWN SOUTH AVE,BATON ROUGE,70808,811111,,,NO,BATON ROUGE,111027,POINT (-91.113507402303 30.391156737067)
ROZAS CONSULTING LLC,17729 HERITAGE ESTATES DR,BATON ROUGE,70810,541000,,,NO,PARISH,43744,POINT (-91.042729837836 30.348687213418)
ELM GROVE MOTEL,10064 ELM GROVE GARDEN DR,BATON ROUGE,70807,721000,,,NO,BATON ROUGE,627,POINT (-91.16844601008 30.536803154336)
ARMSTRONG MCCALL,6868 STE A1 FLORIDA BLVD,BATON ROUGE,70806,423000,,,NO,BATON ROUGE,247460,POINT (-91.119990055801 30.450945124888)
CHAMP'S COLLISION CENTER,6147 SIEGEN LN,BATON ROUGE,70809,811121,,,NO,PARISH,100901,POINT (-91.058368949314 30.393577625205)
MAGIC PAINT BRUSH,17726 W MUIRFIELD DR,BATON ROUGE,70810,815000,,,NO,PARISH,43725,POINT (-91.023050977715 30.330219197871)
PAT HEBERT ACCOUNTING,323 PARK HILLS DR,BATON ROUGE,70806,541000,,,NO,BATON ROUGE,70418,POINT (-91.150902874535 30.451000223126)
TOTAL PERFORMANCE SOLUTIONS LLC,6225 HOLLYFIELD DR,BATON ROUGE,70809,811000,,,NO,PARISH,101673,POINT (-91.05275139508 30.389978577589)
B & T UNDERGROUND CONSTRUCTION LLC,17048 S BRISTLE CONE CT,GREENWELL SPRINGS,70739,454000,,,NO,CENTRAL,202914,POINT (-91.000136897012 30.503140085991)
MEDISTAR HOME HEALTH OF BATON ROUGE LLC,8110 SUMMA AVE,BATON ROUGE,70809,815000,,,NO,PARISH,135713,POINT (-91.101974654668 30.399594119715)
SOUTHERN UNIVERSITY TICKET OFFICE,7722 SCENIC HWY,BATON ROUGE,70807,561599,,,NO,BATON ROUGE,113153,POINT (-91.176948094043 30.517503007271)
PURNELL CONSTRUCTION CO INC,750 S 15TH ST,BATON ROUGE,70802,236000,,,NO,BATON ROUGE,110983,POINT (-91.173029848755 30.441056664438)
WYBIRK BUSINESS DEVELOPMENT CT,7970 DYER RD,BAKER,70714,561000,,,NO,PARISH,114643,POINT (-91.109258170491 30.596163621472)
UNITED SKY LOGISTIC LLC,3145 JUBAN AVE,BATON ROUGE,70805,488000,,,NO,BATON ROUGE,69325,POINT (-91.121953421226 30.47824154488)
MI PADRES MEXICAN,7750 BLUEBONNET BLVD,BATON ROUGE,70810,722000,,,YES,PARISH,143307,POINT (-91.098099631446 30.380393901455)
MCDONALD'S TIRE,1308 MAIN ST,BAKER,70714,441000,,,NO,BAKER,189277,POINT (-91.167538954247 30.589318362352)
A V SOLUTIONS,5535 SUPERIOR DR,BATON ROUGE,70816,561110,,,NO,BATON ROUGE,135649,POINT (-91.04873662548 30.404864449793)
EDEN OF EDEN CHRISTIAN ACADEMY,7315 EXCHANGE PL,BATON ROUGE,70806,624410,,,NO,BATON ROUGE,110138,POINT (-91.114454980304 30.464282016864)
ALBERT LAWN SERVICE,1920 STE 4 SOUTHPOINTE DR,BATON ROUGE,70808,815000,,,,BATON ROUGE,238626,POINT (-91.113662135365 30.393588934916)
PILAND CPA FIRM,2051 STE 110 SILVERSIDE DR,BATON ROUGE,70808,541211,,,NO,BATON ROUGE,136012,POINT (-91.112833045395 30.395554271443)
CITIZENS BANK & TRUST CO,4810 O'NEAL LN,BATON ROUGE,70817,521000,,,NO,PARISH,86907,POINT (-91.008963818436 30.408740520309)
TRIMCO MILLWORK & SUPPLY,8451 PARIS AVE,BATON ROUGE,70814,453000,,,NO,BATON ROUGE,118064,POINT (-91.100269132424 30.473522178983)
SARTIN & SONS,3885 PORT HUDSON-PRIDE RD,ZACHARY,70791,,,,NO,ZACHARY,197310,POINT (-91.157095412974 30.684955731125)
VARNADO PERFORMANCE,3053 OLD FORGE DR,BATON ROUGE,70808,815000,,,NO,BATON ROUGE,67960,POINT (-91.136167811046 30.417554016068)
"VEY DEVELOPMENT,INC",11822 STE B7 JUSTICE AVE,BATON ROUGE,70816,531210,,,NO,BATON ROUGE,13336,POINT (-91.049842297238 30.423804827624)
STABS STEAK & SEAFOOD,13300-13400 MAGNOLIA SQUARE DR,CENTRAL,70818,,,,YES,CENTRAL,208615,POINT (-91.039470153235 30.520730313475)
RED CLOUD PRODUCTIONS,11572 CEDAR PARK AVE,BATON ROUGE,70809,512000,,,NO,PARISH,11975,POINT (-91.053475892019 30.389027152312)
RICHARDSON CAB,3712 W WENDOVER DR,BATON ROUGE,70814,485000,,,NO,PARISH,75800,POINT (-91.045749339188 30.48438615495)
EMERGENCY TRAINING SERVICES,10323 GINGER PLACE DR,BATON ROUGE,70817,541000,,,NO,PARISH,2869,POINT (-90.975222019296 30.355781415167)
WRIGHTS TRUCKING,4512 SYCAMORE ST,BATON ROUGE,70805,484000,,,NO,BATON ROUGE,84215,POINT (-91.144799116468 30.494632275208)
BELL MECHANICAL SERVICE LLC,11870 BOYLAN AVE,BATON ROUGE,70809,423860,,,NO,PARISH,13686,POINT (-91.050898730012 30.380835669465)
CIRCLE BOWL,8878 FLORIDA BLVD,BATON ROUGE,70815,713000,,,NO,BATON ROUGE,120645,POINT (-91.092824868657 30.452255159432)
"GUILLOT & GUILLOT iNVESTMENTS, LLC",6134 STE F BENEFIT DR,BATON ROUGE,70809,532292,,,NO,PARISH,100710,POINT (-91.051451929639 30.390040740156)
CHENEVERT TRUE VALUE HDWE #3,2989 MONTERREY DR,BATON ROUGE,70814,444000,,,NO,BATON ROUGE,66799,POINT (-91.083967625022 30.475929178104)
THE ROSE COLORED HAIR STUDIO,4454 BOULONNAIS AVE,BATON ROUGE,70820,812000,,,NO,PARISH,236233,POINT (-91.220642198231 30.377763447622)
QUICK CASH,9705 STE 101 FLORIDA BLVD,BATON ROUGE,70815,521000,,,NO,BATON ROUGE,247601,POINT (-91.078204173561 30.456163087106)
RUTH CHRIS STEAK HOUSE,4836 CONSTITUTION AVE,BATON ROUGE,70808,722000,,,YES,BATON ROUGE,87200,POINT (-91.134516338357 30.421799549243)
CALAIS DERMATOLOGY ASSOCIATION,5220 STE C FLANDERS DR,BATON ROUGE,70808,621399,,,NO,BATON ROUGE,212257,POINT (-91.108331130491 30.401073795264)
AMBER TERRACE,8585 SUMMA AVE,BATON ROUGE,70809,623000,,,NO,PARISH,144392,POINT (-91.096887302679 30.39834936659)
CAPITAL ONE BANK,6581 SIEGEN LN,BATON ROUGE,70809,522110,,,NO,PARISH,104986,POINT (-91.060930622554 30.389391272388)
AERO-DATA,8245 YMCA PLAZA DR,BATON ROUGE,70810,518210,,,NO,PARISH,116597,POINT (-91.076937250927 30.371194394841)
RIPARIAN INC,12283 QUEENSBURY AVE,BATON ROUGE,70815,815000,,,NO,BATON ROUGE,16670,POINT (-91.048004917749 30.443896680103)
FIVE STAR MAINTENANCE,1925 W GEORGE ST,ZACHARY,70791,238000,,,NO,ZACHARY,193837,POINT (-91.182593756004 30.660403020934)
GMS CONSULTANT LLC,1410 APPLEWOOD RD,BATON ROUGE,70808,815000,,,NO,BATON ROUGE,26254,POINT (-91.119885438765 30.390848676381)
IZZOS ILLEGAL BURRITO,4245 BLUEBONNET BLVD,BATON ROUGE,70809,722000,,,YES,PARISH,81653,POINT (-91.078562666734 30.410011331658)
KELLERMAN WOODWORKS,1820 WOODDALE CT,BATON ROUGE,70806,339000,,,NO,BATON ROUGE,45577,POINT (-91.111718932353 30.465854341384)
OPTASOFT LLC,7951 OAKBROOK DR,BATON ROUGE,70810,454000,,,NO,PARISH,114531,POINT (-91.077570126093 30.375345049127)
GEORGETOWN DESIGNS,10615 JAYBIRD LN,BATON ROUGE,70817,442000,,,NO,PARISH,51818,POINT (-90.963724633667 30.350058608596)
CATHOLIC COMMUNITY SERVICES - JOSEPH HOMES,130 S 11TH ST,BATON ROUGE,70802,813410,,,NO,BATON ROUGE,21020,POINT (-91.178489134626 30.446855778088)
UOP PACKAGING & WAREHOUSE,6191 CHOCTAW DR,BATON ROUGE,70805,484110,,,NO,BATON ROUGE,137725,POINT (-91.128299024289 30.47136640415)
M L S SERVICE,2150 SAN CLEMENTE DR,BATON ROUGE,70815,238000,,,,BATON ROUGE,54475,POINT (-91.072280726966 30.469052234004)
PELICAN STATE CREDIT UNION,450 LOBDELL BLVD,BATON ROUGE,70806,522130,,,NO,BATON ROUGE,84105,POINT (-91.111680576078 30.454538849224)
REMAX REAL ESTATE GROUP,5515 STE 1 S SHERWOOD FOREST BLVD,BATON ROUGE,70816,531210,,,NO,BATON ROUGE,94441,POINT (-91.051282446217 30.405166574221)
CHILDREN'S ADVOCACY CENTER,626 EAST BLVD,BATON ROUGE,70802,624110,,,NO,BATON ROUGE,142836,POINT (-91.180577341883 30.44248380475)
WL PEAK ENTERPRISES LLC,2398 BAYWOOD AVE,BATON ROUGE,70808,,,,NO,BATON ROUGE,59159,POINT (-91.16259750909 30.426042487749)
VERITAS WEALTH ADVISORS LLC,7915 WRENWOOD BLVD,BATON ROUGE,70809,815000,,,NO,BATON ROUGE,140579,POINT (-91.100935227853 30.423335970189)
MEAUXDE FURNITURE & CABINETRY,9254 CORLETT DR,BATON ROUGE,70811,454000,,,NO,PARISH,123759,POINT (-91.124951919846 30.531684223233)
KCI THERAPEUTIC SERVICES,6756 LANGLEY DR,BATON ROUGE,70809,339000,,,NO,PARISH,106220,POINT (-91.051631535136 30.38203377398)
NEWK'S EATERY,7211 STE B CORPORATE BLVD,BATON ROUGE,70809,722000,,,YES,PARISH,219871,POINT (-91.1164573028 30.430230850017)
THE PERFECT BLEND BOUTIQUE,5954 HEIDEL AVE,BATON ROUGE,70805,448000,,,NO,BATON ROUGE,98996,POINT (-91.130970599623 30.486452966704)
ACADIAN FOOD MART,2223 N ACADIAN THWY W,BATON ROUGE,70802,445000,,,YES,BATON ROUGE,55841,POINT (-91.156632110656 30.468159594363)
PHILIP J ST GERMAIN CPA CORP,1635 MC MICHAEL DR,BATON ROUGE,70815,541000,,,NO,BATON ROUGE,37078,POINT (-91.06946840427 30.437567279613)
L & N SWEET DELIGHT,8430 WILBUR ST,BATON ROUGE,70807,445000,,,NO,BATON ROUGE,175779,POINT (-91.165409147539 30.524238252563)
FOREVER FAVORED EVENT RENTALS LLC,7332 N JEFFERSON PLACE CIR,BATON ROUGE,70809,815000,,,NO,PARISH,180071,POINT (-91.104773977843 30.419066022838)
CANON SOLUTIONS AMERICA INC,11115 STE 30 INDUSTRIPLEX BLVD,BATON ROUGE,70817,424120,,,NO,PARISH,230697,POINT (-91.058873824366 30.388917881767)
GULLY PHELPS & MCKEY INC,5025 BLUEBONNET BLVD,BATON ROUGE,70809,531000,,,NO,PARISH,138596,POINT (-91.081812009904 30.403008164319)
SISTERS OF SOPHISTICATION,11423 SAINT LAWRENCE DR,BATON ROUGE,70811,813000,225-328-2470,http://sosmentors.com,NO,PARISH,10978,POINT (-91.129473734537 30.549341563058)
WILLIAMS ACCOUNTING SERVICE LLC,1681 WOODDALE BLVD,BATON ROUGE,70806,541000,,,NO,BATON ROUGE,39324,POINT (-91.112180462377 30.463315767639)
PHCC BR MASTER PLUMBER ASSOCIATION,10359 MAMMOTH AVE,BATON ROUGE,70814,238220,,,NO,BATON ROUGE,3303,POINT (-91.071914776221 30.477843143414)
TRVPPY HIPPIE,2016 W MARSDEN PL,BATON ROUGE,70816,453000,,,NO,PARISH,51430,POINT (-91.016802480619 30.441939941051)
LA QUALITY CABINETS,11736 CLOVERLAND AVE,BATON ROUGE,70809,238000,,,NO,PARISH,12958,POINT (-91.050787766007 30.39042897053)
STEP N STYLE BARBER & BEAUTY SALON,3233 PLANK RD,BATON ROUGE,70805,812000,,,NO,BATON ROUGE,138886,POINT (-91.160952599773 30.477772271778)
RTS PAINT & BODY AUTO,2920 WELLER AVE,BATON ROUGE,70805,811121,,,NO,BATON ROUGE,65891,POINT (-91.160138419673 30.485426308659)
JOSCOL HIGH END CONSTRUCTION LLC,2116 FAIRCHILD ST,BATON ROUGE,70807,236000,,,NO,BATON ROUGE,53390,POINT (-91.170827234711 30.52226513474)
RIVER CITY METAL FABRICATION,2355 N FOSTER DR,BATON ROUGE,70802,453000,,,NO,BATON ROUGE,134860,POINT (-91.140164703364 30.470024408571)
B & B MANUFACTURING CO,15053 GREENWELL SPRINGS RD,GREENWELL SPRINGS,70739,238000,,,NO,CENTRAL,202258,POINT (-91.021368683098 30.51746177796)
POOL,8021 PENNTH AVE,BATON ROUGE,70809,454111,,,NO,PARISH,143185,POINT (-91.101653443693 30.401209331359)
DRAGOS ANTIQUES,838 KENILWORTH PKWY,BATON ROUGE,70808,815000,,,NO,BATON ROUGE,117542,POINT (-91.131792513008 30.385314484489)
TRUHE SELF CLOTHING LLC,815 HARVEY DR,BATON ROUGE,70815,448000,,,NO,BATON ROUGE,115816,POINT (-91.066541882514 30.459278080828)
NO LIMIT TOWING,469 LIVE OAK BLVD,BATON ROUGE,70806,488000,,,NO,BATON ROUGE,85923,POINT (-91.149087078723 30.452370890405)
GM REAL ESTATE LLC,18504 SURREY COURT AVE,BATON ROUGE,70817,236000,,,NO,PARISH,144195,POINT (-90.982736788903 30.371753278222)
FRANKLIN ROOTER SERVICE & VIDEO INSPECTION,11888 OLD HAMMOND HWY,BATON ROUGE,70816,541000,,,NO,BATON ROUGE,13746,POINT (-91.051421804236 30.438226665414)
RENT A CENTER EAST INC #4293,4065 FLORIDA BLVD,BATON ROUGE,70806,453000,,,NO,BATON ROUGE,139668,POINT (-91.14866244817 30.451062768044)
THE ARC BATON ROUGE - METRO ENTERPRISES,3950 PRESCOTT RD,BATON ROUGE,70805,813319,225-356-0141,http://arcbatonrouge.org/,NO,BATON ROUGE,78590,POINT (-91.150363208018 30.486774411775)
MURPHY LAW FIRM,7035 JEFFERSON HWY,BATON ROUGE,70806,541110,,,NO,BATON ROUGE,108017,POINT (-91.116619530632 30.43424248095)
ZHUANGS TAICHI & KUNGFU ACADEMY LLC,1955 W MURIEL DR,BATON ROUGE,70816,713000,,,NO,BATON ROUGE,133703,POINT (-91.060051632157 30.435093813122)
EDDRINA DRAKE CLEANING SERVICE,4835 RITTERMAN AVE,BATON ROUGE,70805,815000,,,NO,BATON ROUGE,87198,POINT (-91.141674186217 30.475017508692)
JE JENKINS CONSTRUCTION CO INC,5702 JOOR RD,BATON ROUGE,70811,212321,,,NO,PARISH,96428,POINT (-91.085171014455 30.502638468775)
